,Smiles,S_Hit
459,NC(=O)c1cccc2nc([C@H]3CCN(Cc4ccccn4)C3)[nH]c12,Yes
4329,Fc1ccc2[nH]c(C3CCCN3Cc3c[nH]cn3)nc2c1,Yes
5176,COc1c(C)cnc(CN(C)C2CCCCC2)c1C,Yes
5198,Cc1cccc(CN2CCCC2c2cccc(Nc3nccs3)n2)c1,Yes
5929,CCSCCNc1nc(-c2ccccn2)nc2c1c(C)nn2C,Yes
6020,Cc1cnn(CC2CCCN2Cc2nc(C)c3ccccc3n2)c1,Yes
6660,CO[C@H]1CCN(Cc2cccc(C)n2)[C@@H]2CN(Cc3cccnc3)C[C@H]12,Yes
6878,CC1(c2ccccc2)CCCN(Cc2cncn2C2CCCC2)C1,Yes
8317,COCc1noc(-c2ccc(N(C)Cc3ncccc3C)nc2)n1,Yes
8576,Cc1ccc(-c2nc(CNC(C)CCO)[nH]c2-c2ccccn2)cc1,Yes
8878,CNc1cc(C)nc(NCc2cc(C)cc3c(C)c(C)[nH]c23)n1,Yes
8957,Cc1cn2c(n1)C(CNCC1=Cc3ccccc3OC1)CCC2,Yes
9109,Cc1cccc(CN2Cc3[nH]nc(COCCO)c3C2)n1,Yes
9733,COc1cc(CNC(c2ccccc2)c2nccn2C)cc(OC)c1,Yes
10873,Cc1cccc(CN2C[C@@H]3[C@@H](COC[C@@H]3NS(C)(=O)=O)C2)n1,Yes
12431,Cc1cc(C)n(C2=NC(NCCCO)c3c(sc4c3CCCC4)N2)n1,Yes
12561,CC(C)Nc1nc2c(c(NC3CC3)n1)CCN(C1CCOCC1)CC2,Yes
12586,CNc1cc(C)nc(NC2CCCN(C3Cc4ccccc4C3)C2)n1,Yes
13549,CC(C)(C)c1cn2c(n1)C(CNCc1ccccn1)CCC2,Yes
13838,CCc1c(-c2ccccc2)nc2c(c(C)c(C)n2CCN(C)C)c1N,Yes
16083,CN(CCO)Cc1cc(Cl)ccc1OCC(O)CN1CCCCCC1,Yes
16723,CC(C)Nc1nc2c(c(NC3CC3)n1)CCN(Cc1nccn1C)CC2,Yes
19081,CCc1[nH]c2c(CNc3nc(C)cc(NC)n3)cc(C)cc2c1C,Yes
20893,Cc1cn2c(n1)C(CNCc1cccc3c1OCO3)CCC2,Yes
22259,Cc1ccccc1CN1CCCC1c1cccc(Nc2nccs2)n1,Yes
25079,CCN(CCN(C)C)c1nc(CCN)nc2sc(C)c(C)c12,Yes
26670,CC(C)(C)c1cn2c(n1)C(CNCc1cnn3ccccc13)CCC2,Yes
29233,Cc1cc(CN(C)c2nc(-c3ccccn3)nc3c2CCNCC3)n[nH]1,Yes
29724,COc1ccc(NC(=O)Cn2nc(C)c(C(C)=O)c2C)cc1,Yes
29987,Cc1cccc(CN2CCCC2c2cncc(Nc3nncs3)n2)c1,Yes
30870,Cc1cnc2c(S(=O)(=O)NC3CCS(=O)(=O)C3)cccc2c1,Yes
31038,Cc1cccc(CN2CCC3(CCN(c4cccnc4)C3=O)C2)n1,Yes
31828,CN(Cc1ccsc1)c1nc(-c2ccccn2)nc2c1CCNCC2,Yes
34142,Cc1nnc(NCc2ccccc2Cl)c(C#N)c1C,Yes
34554,COc1ccc(C)cc1CN1CCC(c2cc3ncccc3cn2)CC1,Yes
35448,Fc1cccc(C(NCc2ncc[nH]2)c2ccccn2)c1,Yes
35666,CN(Cc1ccco1)C[C@H]1OC[C@@H]2CCN(Cc3ccccn3)C[C@H]12,Yes
35902,CCc1[nH]c2c(CNc3cc(C)nc(NC)n3)cc(C)cc2c1C,Yes
36429,CN(Cc1nccs1)c1nc(-c2ccccn2)nc2c1CCNCC2,Yes
37573,c1ccc(CCN2CCCC2c2cccc(Nc3nccs3)n2)cc1,Yes
38263,O=C(CN1CCc2sccc2C1)Nc1ccnc2ccnn12,Yes
40447,Clc1cccc(C(NCc2ncc[nH]2)c2ccccn2)c1,Yes
40999,Cc1nc(Nc2ncccn2)cc(C2CCCN2CC(C)C)n1,Yes
43008,Cc1cccc(CN2CCCn3c(nnc3Cn3cccn3)C2)n1,Yes
43057,OC1(CN2CCC(Oc3cccc(C(F)(F)F)c3)CC2)CCNC1,Yes
43549,CCc1ccc(C2c3nc[nH]c3CCN2Cc2nccn2CC)nc1,Yes
43759,CSc1ccc(-c2nc(CN3CCC(CN)C3)c(C)o2)cc1,Yes
43843,Cc1cc(C)n(C2=NC(NCCC(C)C)c3c(sc4c3CCCC4)N2)n1,Yes
47967,O=C(C1CC2(CCNCC2)CN1)N1CCN(c2cccc(Cl)c2Cl)CC1,Yes
48693,CN1CCC(NCC(O)c2cccc(OCc3ccccc3)c2)CC1,Yes
48808,Cc1cnc(Nc2cccc(C3CCCN3Cc3cn(C)nc3C)n2)s1,Yes
50083,Cc1nn(C)cc1C1=NS(=O)(=O)N(C)C(C(=O)Nc2ccc(Br)cc2)=C1,Yes
50779,NCC1CCN(C2CCN(c3ccc(-c4ccco4)cc3)CC2)C1,Yes
51915,COCC(C)NCc1nc(-c2ccc(C)cc2)c(-c2ccccn2)[nH]1,Yes
51995,COCCCNC1N=C(n2nc(C)cc2C)Nc2sc3c(c21)CCCC3,Yes
53827,Cn1cccc1CNCC1CCCn2cc(C(C)(C)C)nc21,Yes
56498,Cc1nn(C)c2nc(-c3ccccn3)nc(NCCCOC(C)C)c12,Yes
57098,CCSCC(C)NCc1cn2ccccc2n1,Yes
57432,Cc1ccc2nc(CN(C)Cc3n[nH]c4c3CCCCC4)[nH]c2c1C,Yes
57804,CN(CCc1cccc2ccccc12)Cc1nc(N)nc(N(C)C)n1,Yes
58050,CCc1ccc2nc(NCCCN(CCO)CCO)cc(C)c2c1,Yes
60121,CCCc1nc2c(c(C)c(C)n2CCN(C)C)c(N)c1CC,Yes
61083,COc1cccc(CN2CCCC2c2cncc(Nc3nncs3)n2)c1,Yes
