,Smiles,Hit
15,Cc1cccnc1CN1CC[C@H](Oc2cccc(F)c2)[C@@](C)(O)C1,Yes
31,CC(C)(C)C(=O)N1C[C@H](c2ccsc2)[C@H]2CN(C3CCCCC3)CC[C@H]21,Yes
101,CC(C)N(CCNC(=O)c1[nH]nc2ccc(I)cc12)C(C)C,Yes
116,CC(Nc1nc(-c2ccncc2)nc2c1CCNC2)c1ccccc1,Yes
126,CC(C)C[C@H](N)COc1cccc(F)c1Oc1cccc(Cl)c1,Yes
132,Clc1cccc(C2CCN(c3ncnc4c3CCNC4)C2)c1,Yes
140,COc1cccc(CN(Cc2ccco2)Cc2[nH]cnc2C)c1,Yes
142,CCN(CC1CN(Cc2nc(C3CC3)no2)CCO1)c1cccnn1,Yes
157,NC(=O)CCC1CCCN(c2ccnc3cc(F)ccc23)C1,Yes
236,c1ccc(C2CCN(c3ncnc4c3CCNC4)CC2)cc1,Yes
278,CCCn1ccnc1CN1CCCC1c1ccccn1,Yes
325,Cc1nc2c(c(NCc3nc4ccccc4s3)n1)CCNCC2,Yes
391,CC(C)(C)C(=O)N1C[C@H](c2ccsc2)[C@H]2CN(C3CCCC3)CC[C@H]21,Yes
495,COc1cc(Oc2ncccc2C(F)(F)F)ccc1CN1CCCC1,Yes
547,CNC(=O)CCN(C)CC1(c2ccc(Br)cc2)CC1,Yes
626,NC(=O)c1ccc(N2CCCCC2)c(NC(=O)c2ccc(Br)cc2)c1,Yes
687,Cn1cccc1C(CNC(=O)COc1ccc(Cl)cc1Cl)N1CCCC1,Yes
748,CO[C@@H]1CCN(Cc2ccccn2)[C@@H]2CN(Cc3ccco3)C[C@@H]21,Yes
798,Cc1ccc(C2(CN3CCN(Cc4cncn4C)CC3)CC2)cc1,Yes
896,O=C(CN1CCCC(c2ccn[nH]2)C1)Nc1nc2c(s1)CCC2,Yes
1066,OCCN1CCC(CNCc2ccc(Br)cc2)CC1,Yes
1355,COc1ccc(CN2CCC3(CCCN(c4ncc(F)cn4)C3)C2)cc1,Yes
1413,CN1[C@H](Cn2cccn2)C[C@@H]2CN(Cc3cccs3)CC[C@@H]21,Yes
1525,Cc1ccc(CNC2CCN(CCc3ccncc3)CC2)cc1C,Yes
1546,c1ccc(N2CCCC3(CCN(Cc4cccs4)C3)C2)nc1,Yes
1688,COc1ccc(C[C@H]2CNCC[C@@H]2OCC2CC2)cc1,Yes
1741,CN(C)CCN1C(=O)CCCC12CCCN(Cc1cccs1)C2,Yes
