Smiles,CHEMBLID,Compound Key,Library,S_Hit
Cc1cnn(CC2CCCCN2Cc2nnsc2Cl)c1,CHEMBL3490801,DDD01298554,Global Health Stage V,Inactive
CC(=O)N1CC[C@H]2CC(=O)N(C3CCCCC3)CC[C@H]2C1,CHEMBL3437403,DDD01025419,Global Health Stage V,Inactive
Cc1cc(=O)[nH]c(=O)n1-c1cccc(Cl)c1Cl,CHEMBL3484454,DDD01255808,Global Health Stage V,Inactive
Cc1cc(COC(=O)[C@@H]2Cc3ccccc3CN2S(C)(=O)=O)no1,CHEMBL3456033,DDD01066956,Global Health Stage V,Inactive
O=C(c1cccnc1O)N(CCO)Cc1cc(Br)ccc1F,CHEMBL3464715,DDD01075729,Global Health Stage V,Inactive
CCNc1ncc(C(=O)N2Cc3nc(C)[nH]c(=O)c3C2)cn1,CHEMBL3485617,DDD01256975,Global Health Stage V,Inactive
O=C(NCCc1cccs1)[C@H]1CO[C@H]2CCN(CC3CC3)C[C@H]2C1,CHEMBL3556381,DDD01082994,Global Health Stage V,Inactive
CCN1CCN(C2CCN(Cc3nc4ccccc4o3)CC2)C1=O,CHEMBL3496925,DDD01304720,Global Health Stage V,Inactive
O=C(NCC1CC1)[C@H]1CN(Cc2nccs2)C[C@H]2OCC[C@H]21,CHEMBL3551688,DDD01083700,Global Health Stage V,Inactive
Cc1cnn(CC2CCCN2Cc2nc3ccccc3nc2C)c1,CHEMBL3497159,DDD01304957,Global Health Stage V,Inactive
CCC1CN(CC(=O)NCCN2CCCCCC2)c2ccccc2S1,CHEMBL3437800,DDD01025851,Global Health Stage V,Inactive
Cc1noc(C)c1CNC(=O)C1(NS(C)(=O)=O)CCCCC1,CHEMBL3466150,DDD01077198,Global Health Stage V,Inactive
CCc1ncnc2c1CCN(Cc1ccc3c(c1)OCO3)CC2,CHEMBL3557579,DDD01033995,Global Health Stage V,Inactive
Cc1csc(C(=O)N2CCCC(c3[nH]ncc3S(C)(=O)=O)C2)c1,CHEMBL3450192,DDD01060893,Global Health Stage V,Inactive
Cc1cnc(N)c(C(=O)C2CCN(C(=O)C3CCC3)CC2)c1,CHEMBL3449281,DDD01059861,Global Health Stage V,Inactive
Cc1cccc(-c2cccc(CC3(C(=O)O)CCOCC3)c2)c1,CHEMBL3449520,DDD01060133,Global Health Stage V,Inactive
O=C(c1ccoc1)N1CCC2(C1)CN(c1nccs1)C2,CHEMBL3442556,DDD01033328,Global Health Stage V,Inactive
COCCN1CCN(Cc2c(C)noc2C)Cc2ccc(C)nc21,CHEMBL3555579,DDD01030636,Global Health Stage V,Inactive
CCn1cnnc1CNC(=O)Cc1ccc2c(c1)OCCO2,CHEMBL3492365,DDD01300121,Global Health Stage V,Inactive
COCCNC(=O)c1cccnc1Sc1cc(OC)ccc1OC,CHEMBL3437951,DDD01026039,Global Health Stage V,Inactive
Cc1nc(C)n(C2CCCN(C(=O)c3ncoc3C(C)C)C2)n1,CHEMBL3492671,DDD01300428,Global Health Stage V,Inactive
O=C(c1ccc[nH]1)N1CC2(CCN(c3ncccn3)C2)C1,CHEMBL3441317,DDD01030546,Global Health Stage V,Inactive
CCO[C@@H]1CC[C@H]2[C@H]1OCCN2C(=O)c1nn(C)c2ccccc12,CHEMBL3470404,DDD01081828,Global Health Stage V,Inactive
Cc1ccc(N2CCCC(N(C)Cc3c(C)noc3C)C2)nn1,CHEMBL3458992,DDD01069951,Global Health Stage V,Inactive
Cc1nc(CN(C)C2CCN(CCCOc3ccccc3C)C2)no1,CHEMBL3492832,DDD01300593,Global Health Stage V,Inactive
Cc1ccc(OCCC(=O)NC2CCc3nccn3C2)cc1,CHEMBL3469681,DDD01080775,Global Health Stage V,Inactive
CC(NCc1ccc(OCc2nccn2C)cc1)c1cccnc1,CHEMBL3467073,DDD01078135,Global Health Stage V,Inactive
Cc1cccc2nc(CN3CCC(N4CCN(C)C4=O)CC3)cn12,CHEMBL3452097,DDD01062958,Global Health Stage V,Inactive
COc1ccc(-n2cc(CNC(=O)c3cscn3)nn2)cc1,CHEMBL3451877,DDD01062738,Global Health Stage V,Inactive
COc1ccccc1C(=O)N1CCC(Nc2ccc(C)nn2)CC1,CHEMBL3491915,DDD01299670,Global Health Stage V,Inactive
COCc1cncc2c1CCN(Cc1cnn(C)c1)C2,CHEMBL3552212,DDD01033182,Global Health Stage V,Inactive
COCCN(CCOC)C(=O)c1cn(C(C)(C)C)c2ncccc12,CHEMBL3438031,DDD01026122,Global Health Stage V,Inactive
Clc1ccc(CN2CCOC[C@H](Oc3cccnc3)C2)cc1,CHEMBL3437191,DDD01025182,Global Health Stage V,Inactive
O=C(O)[C@@H]1CN(CC2CCC2)C[C@H]1c1ccc(F)cc1,CHEMBL3480047,DDD01251379,Global Health Stage V,Inactive
Cn1cc(CN2C[C@H](Oc3ncccc3F)[C@H]3OCCC[C@H]32)cn1,CHEMBL3557775,DDD01034247,Global Health Stage V,Inactive
Cc1ccc(CN2CCC[C@]3(C(=O)O)CN(CC4CC4)C[C@@H]3C2)s1,CHEMBL3554787,DDD01082439,Global Health Stage V,Inactive
O=C(c1cc(F)ccc1O)N1CCN(C2CCOCC2)CC1,CHEMBL3465858,DDD01076896,Global Health Stage V,Inactive
CC1CCN(C(=O)CSCc2noc(C(C)C)n2)CC1,CHEMBL3467383,DDD01078453,Global Health Stage V,Inactive
Cc1nc(C)n(CC2CCCCN2c2ccnc(-c3ccccc3)n2)n1,CHEMBL3451569,DDD01062430,Global Health Stage V,Inactive
CN(CC(F)F)C(=O)c1cn(-c2ccc(Br)cc2)cn1,CHEMBL3468490,DDD01079571,Global Health Stage V,Inactive
CCCNC(=O)NC(=O)CNc1c(F)cccc1N1CCCC1,CHEMBL3467782,DDD01078855,Global Health Stage V,Inactive
Cc1ncccc1C(=O)Nc1cccc2c1C(=O)NC2,CHEMBL3462040,DDD01073023,Global Health Stage V,Inactive
Cc1cccn2cc(CC(=O)N3CCCC(n4cncn4)C3)nc12,CHEMBL3494980,DDD01302760,Global Health Stage V,Inactive
